"","name","group","type","category","valuetype","default","min","max","Dislich2018","comment_D2018","model2018","comment_m2018"
"257","p.hq.mean","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"258","p.hq.min","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"259","p.hq.max","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"260","p.hq.sd","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"261","p.hq.forest.mean","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"262","p.hq.oil.mean","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"263","p.hq.rubber.mean","variable","global","biodiversity","numeric",NA,NA,NA,NA,"",NA,""
"264","p.tinput.sum","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"265","p.tinput.mean","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"266","p.capitalstock.sum","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"267","p.capitalstock.mean","variable","global","production","numeric",NA,NA,NA,NA,"",NA,""
"268","p.biocontrol.oil.SF","variable","global","biocontrol","numeric",NA,NA,NA,NA,"",NA,""
